iter	Logloss
0	0.5189455287
1	0.3933856169
2	0.3098888531
3	0.2534059812
4	0.2130927891
5	0.1843382845
6	0.1612281606
7	0.1464248005
8	0.1341576751
9	0.1259487161
10	0.1173363275
11	0.1130808831
12	0.1088205497
13	0.103477892
14	0.09864083572
15	0.09535267686
16	0.09285821699
17	0.09016564598
18	0.08747429479
19	0.08559924564
20	0.08378536044
21	0.08284543139
22	0.08138348403
23	0.08001020828
24	0.07800103053
25	0.07704765512
26	0.07563947868
27	0.07452725024
28	0.07347252404
29	0.07253830848
30	0.07228301336
31	0.07169070121
32	0.0710210145
33	0.07042991138
34	0.069976067
35	0.06952258556
36	0.06912418681
37	0.06857311679
38	0.06805194122
39	0.0677033781
40	0.06728042317
41	0.06670240794
42	0.06623340044
43	0.0656920972
44	0.06537513413
45	0.0649919938
46	0.06457217869
47	0.06388522051
48	0.06347272324
49	0.06315810824
50	0.06263454178
51	0.06248387687
52	0.0620692571
53	0.06186820752
54	0.06163276573
55	0.06121099749
56	0.06092862167
57	0.06058454811
58	0.06044305925
59	0.05992247554
60	0.05975187132
61	0.05951195374
62	0.05929350388
63	0.0591227865
64	0.05902919687
65	0.05876352971
66	0.05844246569
67	0.05813677659
68	0.05782549163
69	0.05749462025
70	0.05719128816
71	0.05696510431
72	0.05659479317
73	0.05633919059
74	0.05621425032
75	0.05601051615
76	0.05567860547
77	0.0555639561
78	0.05529530024
79	0.05503184157
80	0.05490847159
81	0.05474000085
82	0.05454130418
83	0.05437457254
84	0.05424487544
85	0.05383115891
86	0.05365224986
87	0.05346401142
88	0.05313982617
89	0.05292509609
90	0.05270092642
91	0.05253306466
92	0.05239993515
93	0.05218111119
94	0.05192093845
95	0.05164552424
96	0.05145414503
97	0.0509863179
98	0.05085179696
99	0.05065034461
