iter	Passed	Remaining
0	150	14876
1	157	7693
2	163	5298
3	171	4107
4	179	3403
5	187	2930
6	195	2600
7	203	2340
8	211	2140
9	221	1994
10	229	1859
11	237	1741
12	245	1644
13	252	1551
14	259	1469
15	265	1394
16	271	1326
17	278	1268
18	284	1211
19	290	1163
20	298	1122
21	304	1079
22	311	1041
23	318	1008
24	325	976
25	331	944
26	338	914
27	343	884
28	349	856
29	356	831
30	360	802
31	366	779
32	374	759
33	380	738
34	387	719
35	394	700
36	401	683
37	408	666
38	415	649
39	423	635
40	432	622
41	439	606
42	446	592
43	453	577
44	462	564
45	468	550
46	475	536
47	482	523
48	489	509
49	495	495
50	502	483
51	508	469
52	514	456
53	521	443
54	527	431
55	533	419
56	540	407
57	546	395
58	552	384
59	558	372
60	564	361
61	571	350
62	576	338
63	583	328
64	589	317
65	595	306
66	601	296
67	607	285
68	613	275
69	619	265
70	625	255
71	632	246
72	640	236
73	646	227
74	653	217
75	659	208
76	666	199
77	673	189
78	680	180
79	687	171
80	695	163
81	703	154
82	710	145
83	718	136
84	725	128
85	733	119
86	740	110
87	747	101
88	754	93
89	762	84
90	769	76
91	776	67
92	782	58
93	789	50
94	797	41
95	804	33
96	810	25
97	817	16
98	823	8
99	830	0
